scaling,mpi_ranks,omp_threads,n_estimators,max_depth,criteria,which_loss_function,train_time_mean,train_time_std,eval_time_mean,eval_time_std,mse_mean,mse_std,mae_mean,mae_std
weak,4,5,200,10,0,0,4.56965,0.12197182734823105,0.0686566,0.0052197635425371555,6.279633333333333e-05,2.7229141060431715e-06,0.004235333333333333,5.008606548288201e-05
weak,4,6,200,10,0,0,4.852683333333332,0.048080954187241065,0.07189963333333334,0.005365511629741274,6.061876666666667e-05,1.9368609196899446e-07,0.00415941,1.594793403547928e-05
weak,5,1,200,10,0,0,23.457566666666665,0.018113776218361705,0.07508340000000001,0.00011649380527163807,3.66233e-05,3.07817131860241e-07,0.0034497666666666667,3.975108663783782e-06
weak,5,2,200,10,0,0,14.449266666666668,0.18399772341586765,0.05721823333333333,0.007210994167396216,3.5991233333333335e-05,1.024631424247532e-07,0.003435636666666667,1.2107860623945335e-05
weak,5,3,200,10,0,0,7.969696666666667,0.10505279699063469,0.03920186666666667,0.015864051023899567,3.5797766666666665e-05,2.8176243342377777e-07,0.00342099,2.4549391031143688e-05
weak,5,4,200,10,0,0,6.627303333333334,0.6015124367976293,0.064137,0.01950925111855057,3.644546666666667e-05,7.924078130749496e-07,0.003470863333333333,4.391913048117205e-05
weak,5,5,200,10,0,0,5.722396666666666,0.31854684431370883,0.09751103333333333,0.020943966390718726,3.5623699999999996e-05,1.1740210077620706e-06,0.0034221200000000003,3.747336120499461e-05
weak,5,6,200,10,0,0,6.353846666666667,0.17352282776498199,0.10658216666666666,0.0238983738434694,3.57206e-05,4.213575757793694e-07,0.0034358733333333335,1.1123537606754861e-05
weak,6,1,200,10,0,0,28.750833333333333,0.034409914591904844,0.08936573333333335,4.783682914055336e-05,2.365646666666667e-05,7.059512463493649e-07,0.0029472266666666666,2.803119730268787e-05
weak,6,2,200,10,0,0,17.35063333333333,0.22875964581970268,0.0942719,0.008150106723636608,2.27226e-05,1.382114563510082e-07,0.0029322733333333336,6.14894209509972e-06
weak,6,3,200,10,0,0,9.741950000000001,0.14104214901936188,0.08625933333333334,0.007012967770415664,2.3773e-05,5.175257867971407e-07,0.0029501566666666665,1.9866055359722536e-05
weak,6,4,200,10,0,0,8.883963333333334,0.12081777196349157,0.06658973333333333,0.024299156255905036,2.34421e-05,6.240621603654559e-07,0.002938183333333333,2.5658545468431366e-05
weak,6,5,200,10,0,0,6.735156666666666,0.3344567787057426,0.0743234,0.03434798860612753,2.3148266666666667e-05,1.4673226805610581e-06,0.00292021,5.082961603894602e-05
weak,6,6,200,10,0,0,7.3852199999999995,0.053959646650684,0.09145623333333334,0.0030785595747939588,2.3962966666666664e-05,7.713973655357903e-07,0.00295046,2.6385838373390166e-05
